industry_id,industry_name,job_count
807,Primary Metal Manufacturing,23
38,Artists and Writers,23
3191,Consumer Electronics,22
3206,,22
114,Nanotechnology Research,22
1319,"Retail Appliances, Electrical, and Electronic Equipment",21
73,Administration of Justice,21
3086,Utilities Administration,20
111,Retail Art Supplies,20
1931,Telephone Call Centers,20
2369,Housing and Community Development,20
1309,Retail Furniture and Home Furnishings,19
1855,IT System Design Services,19
598,Apparel Manufacturing,19
66,Fisheries,19
140,Graphic Design,19
134,Wholesale Import and Export,19
1720,Investment Advice,17
2374,Community Development and Urban Planning,17
1090,Office Furniture and Fixtures Manufacturing,17
3212,Luxury Goods & Jewelry,16
130,Think Tanks,16
1267,Wholesale Alcoholic Beverages,15
3233,Research,15
3105,IT System Training and Support,15
2179,Golf Courses and Country Clubs,15
743,Plastics and Rubber Product Manufacturing,15
81,Newspaper Publishing,15
883,Metal Treatments,14
928,Metalworking Machinery Manufacturing,14
3085,Transportation Programs,14
3070,Fire Protection,14
3208,E-learning,13
3226,Aviation & Aerospace,13
973,Audio and Video Equipment Manufacturing,13
1178,"Wholesale Hardware, Plumbing, Heating Equipment",12
1495,Ground Passenger Transportation,12
3104,IT System Installation and Disposal,12
615,Fashion Accessories Manufacturing,12
3247,Robot Manufacturing,12
852,Architectural and Structural Metal Manufacturing,12
1171,"Wholesale Appliances, Electrical, and Electronics",12
2054,"Physical, Occupational and Speech Therapists",11
1445,Online and Mail Order Retail,11
3216,Industrial Automation,11
1512,School and Employee Bus Services,11
3249,Surveying and Mapping Services,11
784,Wood Product Manufacturing,11
387,Solar Electric Power Generation,11
388,Environmental Quality Programs,11
2375,Economic Programs,10
3194,"Leisure, Travel & Tourism",10
2934,Landscaping Services,10
1137,Wholesale Furniture and Home Furnishings,10
397,Natural Gas Distribution,10
983,Measuring and Control Instrument Manufacturing,10
201,"Farming, Ranching, Forestry",10
2045,Dentists,9
120,Alternative Dispute Resolution,9
3189,Cosmetics,9
3251,Climate Technology Product Manufacturing,9
3252,Climate Data and Analytics,9
3253,Alternative Fuel Vehicle Manufacturing,9
763,Rubber Products Manufacturing,9
3227,Design,9
1770,Real Estate Agents and Brokers,9
1757,Real Estate and Equipment Rental Services,9
1128,Wholesale Motor Vehicles and Parts,9
871,Construction Hardware Manufacturing,9
3220,Wine & Spirits,9
408,Residential Building Construction,8
2142,Sports Teams and Clubs,8
3234,Computer Networking,8
3081,Housing Programs,8
2128,,8
679,Oil and Coal Product Manufacturing,8
998,Electric Lighting Equipment Manufacturing,8
2115,Community Services,8
1738,"Claims Adjusting, Actuarial Services",8
1923,Executive Search Services,8
3193,Furniture,8
727,Soap and Cleaning Product Manufacturing,8
3246,Accessible Architecture and Design,8
3219,Commercial Real Estate,8
1166,Wholesale Metals and Minerals,8
1157,Wholesale Computer Equipment,8
3211,,8
1750,Trusts and Estates,7
1208,Wholesale Luxury Goods and Jewelry,7
3235,Computer Hardware,7
85,Libraries,7
3128,Business Intelligence Platforms,7
298,Forestry and Logging,7
481,Animal Feed Manufacturing,7
2226,Vehicle Repair and Maintenance,6
1696,Loan Brokers,6
1786,Consumer Goods Rental,6
521,Meat Products Manufacturing,6
3131,,6
3244,Digital Accessibility Services,6
1262,Wholesale Petroleum and Petroleum Products,6
1424,Retail Office Supplies and Gifts,6
2018,Technical and Vocational Training,6
3134,Blockchain Services,5
72,Legislative Offices,5
3229,Warehousing,5
873,Spring and Wire Product Manufacturing,5
495,Sugar and Confectionery Product Manufacturing,5
3223,Packaging & Containers,5
1742,Funds and Trusts,5
1798,Commercial and Industrial Equipment Rental,5
1520,Pipeline Transportation,5
1206,Wholesale Recyclable Materials,5
2259,Personal Care Services,5
964,Communications Equipment Manufacturing,5
398,"Water, Waste, Steam, and Air Conditioning Services",5
3203,Program Development,5
3205,,5
3230,,5
779,Glass Product Manufacturing,5
1409,Retail Books and Printed News,5
2190,Accommodation and Food Services,5
3196,Fine Art,5
1257,Wholesale Chemical and Allied Products,5
2500,Wineries,4
3188,Veterinary,4
3099,,4
3068,Correctional Institutions,4
2212,Caterers,4
2069,Medical and Diagnostic Laboratories,4
1965,Janitorial Services,4
528,Seafood Product Manufacturing,4
